x_mm,y_mm,z_mm,ok,error_code,alpha_deg,servo0_pwm,servo1_pwm,servo2_pwm,servo3_pwm,command
-80.0,210.0,120.0,1,0,-45,1654,1321,1667,846,{#000P1654T1500!#001P1321T1500!#002P1667T1500!#003P0846T1500!}
-80.0,210.0,130.0,1,0,-43,1654,1307,1595,803,{#000P1654T1500!#001P1307T1500!#002P1595T1500!#003P0803T1500!}
-80.0,210.0,140.0,1,0,-40,1654,1333,1619,822,{#000P1654T1500!#001P1333T1500!#002P1619T1500!#003P0822T1500!}
-80.0,210.0,150.0,1,0,-37,1654,1355,1633,838,{#000P1654T1500!#001P1355T1500!#002P1633T1500!#003P0838T1500!}
-80.0,210.0,160.0,1,0,-34,1654,1373,1643,851,{#000P1654T1500!#001P1373T1500!#002P1643T1500!#003P0851T1500!}
-80.0,210.0,170.0,1,0,-31,1654,1388,1649,864,{#000P1654T1500!#001P1388T1500!#002P1649T1500!#003P0864T1500!}
-80.0,210.0,180.0,0,8,,,,,,
-80.0,210.0,190.0,0,8,,,,,,
-80.0,210.0,200.0,0,8,,,,,,
-80.0,210.0,210.0,0,8,,,,,,
-80.0,210.0,220.0,0,8,,,,,,
-80.0,220.0,80.0,1,0,-45,1648,1367,1992,1125,{#000P1648T1500!#001P1367T1500!#002P1992T1500!#003P1125T1500!}
-80.0,220.0,90.0,1,0,-45,1648,1360,1924,1064,{#000P1648T1500!#001P1360T1500!#002P1924T1500!#003P1064T1500!}
-80.0,220.0,100.0,1,0,-45,1648,1343,1840,996,{#000P1648T1500!#001P1343T1500!#002P1840T1500!#003P0996T1500!}
-80.0,220.0,110.0,1,0,-45,1648,1312,1724,911,{#000P1648T1500!#001P1312T1500!#002P1724T1500!#003P0911T1500!}
-80.0,220.0,120.0,1,0,-44,1648,1275,1598,829,{#000P1648T1500!#001P1275T1500!#002P1598T1500!#003P0829T1500!}
-80.0,220.0,130.0,1,0,-41,1648,1308,1637,858,{#000P1648T1500!#001P1308T1500!#002P1637T1500!#003P0858T1500!}
-80.0,220.0,140.0,1,0,-39,1648,1277,1526,793,{#000P1648T1500!#001P1277T1500!#002P1526T1500!#003P0793T1500!}
-80.0,220.0,150.0,1,0,-36,1648,1315,1582,834,{#000P1648T1500!#001P1315T1500!#002P1582T1500!#003P0834T1500!}
-80.0,220.0,160.0,1,0,-33,1648,1339,1608,857,{#000P1648T1500!#001P1339T1500!#002P1608T1500!#003P0857T1500!}
-80.0,220.0,170.0,1,0,-30,1648,1359,1625,877,{#000P1648T1500!#001P1359T1500!#002P1625T1500!#003P0877T1500!}
-80.0,220.0,180.0,0,8,,,,,,
-80.0,220.0,190.0,0,8,,,,,,
-80.0,220.0,200.0,0,8,,,,,,
-80.0,220.0,210.0,0,8,,,,,,
-80.0,220.0,220.0,0,8,,,,,,
-80.0,230.0,80.0,1,0,-45,1642,1325,1928,1103,{#000P1642T1500!#001P1325T1500!#002P1928T1500!#003P1103T1500!}
-80.0,230.0,90.0,1,0,-45,1642,1313,1852,1038,{#000P1642T1500!#001P1313T1500!#002P1852T1500!#003P1038T1500!}
-80.0,230.0,100.0,1,0,-45,1642,1290,1751,961,{#000P1642T1500!#001P1290T1500!#002P1751T1500!#003P0961T1500!}
-80.0,230.0,110.0,1,0,-45,1642,1214,1531,816,{#000P1642T1500!#001P1214T1500!#002P1531T1500!#003P0816T1500!}
-80.0,230.0,120.0,1,0,-42,1642,1268,1620,874,{#000P1642T1500!#001P1268T1500!#002P1620T1500!#003P0874T1500!}
-80.0,230.0,130.0,1,0,-40,1642,1241,1517,813,{#000P1642T1500!#001P1241T1500!#002P1517T1500!#003P0813T1500!}
-80.0,230.0,140.0,1,0,-37,1642,1290,1601,869,{#000P1642T1500!#001P1290T1500!#002P1601T1500!#003P0869T1500!}
-80.0,230.0,150.0,1,0,-34,1642,1319,1636,898,{#000P1642T1500!#001P1319T1500!#002P1636T1500!#003P0898T1500!}
-80.0,230.0,160.0,1,0,-31,1642,1342,1660,922,{#000P1642T1500!#001P1342T1500!#002P1660T1500!#003P0922T1500!}
-80.0,230.0,170.0,0,8,,,,,,
-80.0,230.0,180.0,0,8,,,,,,
-80.0,230.0,190.0,0,8,,,,,,
-80.0,230.0,200.0,0,8,,,,,,
-80.0,230.0,210.0,0,8,,,,,,
-80.0,230.0,220.0,0,8,,,,,,
-80.0,240.0,80.0,1,0,-45,1636,1277,1851,1073,{#000P1636T1500!#001P1277T1500!#002P1851T1500!#003P1073T1500!}
-80.0,240.0,90.0,1,0,-45,1636,1259,1759,999,{#000P1636T1500!#001P1259T1500!#002P1759T1500!#003P0999T1500!}
-80.0,240.0,100.0,1,0,-45,1636,1209,1595,886,{#000P1636T1500!#001P1209T1500!#002P1595T1500!#003P0886T1500!}
-80.0,240.0,110.0,1,0,-43,1636,1200,1534,849,{#000P1636T1500!#001P1200T1500!#002P1534T1500!#003P0849T1500!}
-80.0,240.0,120.0,1,0,-40,1636,1255,1630,911,{#000P1636T1500!#001P1255T1500!#002P1630T1500!#003P0911T1500!}
-80.0,240.0,130.0,1,0,-38,1636,1245,1570,876,{#000P1636T1500!#001P1245T1500!#002P1570T1500!#003P0876T1500!}
-80.0,240.0,140.0,1,0,-35,1636,1284,1630,920,{#000P1636T1500!#001P1284T1500!#002P1630T1500!#003P0920T1500!}
-80.0,240.0,150.0,1,0,-33,1636,1261,1542,869,{#000P1636T1500!#001P1261T1500!#002P1542T1500!#003P0869T1500!}
-80.0,240.0,160.0,1,0,-30,1636,1299,1604,915,{#000P1636T1500!#001P1299T1500!#002P1604T1500!#003P0915T1500!}
-80.0,240.0,170.0,0,8,,,,,,
-80.0,240.0,180.0,0,8,,,,,,
-80.0,240.0,190.0,0,8,,,,,,
-80.0,240.0,200.0,0,8,,,,,,
-80.0,240.0,210.0,0,8,,,,,,
-80.0,240.0,220.0,0,8,,,,,,
-80.0,250.0,80.0,1,0,-45,1631,1220,1747,1027,{#000P1631T1500!#001P1220T1500!#002P1747T1500!#003P1027T1500!}
-80.0,250.0,90.0,1,0,-45,1631,1174,1591,916,{#000P1631T1500!#001P1174T1500!#002P1591T1500!#003P0916T1500!}
-80.0,250.0,100.0,1,0,-43,1631,1182,1569,902,{#000P1631T1500!#001P1182T1500!#002P1569T1500!#003P0902T1500!}
-80.0,250.0,110.0,1,0,-40,1631,1234,1657,960,{#000P1631T1500!#001P1234T1500!#002P1657T1500!#003P0960T1500!}
-80.0,250.0,120.0,1,0,-38,1631,1237,1629,943,{#000P1631T1500!#001P1237T1500!#002P1629T1500!#003P0943T1500!}
-80.0,250.0,130.0,1,0,-36,1631,1232,1583,916,{#000P1631T1500!#001P1232T1500!#002P1583T1500!#003P0916T1500!}
-80.0,250.0,140.0,1,0,-33,1631,1271,1644,961,{#000P1631T1500!#001P1271T1500!#002P1644T1500!#003P0961T1500!}
-80.0,250.0,150.0,1,0,-31,1631,1260,1586,929,{#000P1631T1500!#001P1260T1500!#002P1586T1500!#003P0929T1500!}
-80.0,250.0,160.0,0,8,,,,,,
-80.0,250.0,170.0,0,8,,,,,,
-80.0,250.0,180.0,0,8,,,,,,
-80.0,250.0,190.0,0,8,,,,,,
-80.0,250.0,200.0,0,8,,,,,,
-80.0,250.0,210.0,0,8,,,,,,
-80.0,250.0,220.0,0,8,,,,,,
-80.0,260.0,80.0,1,0,-44,1626,1167,1655,995,{#000P1626T1500!#001P1167T1500!#002P1655T1500!#003P0995T1500!}
-80.0,260.0,90.0,1,0,-42,1626,1185,1658,995,{#000P1626T1500!#001P1185T1500!#002P1658T1500!#003P0995T1500!}
-80.0,260.0,100.0,1,0,-40,1626,1199,1653,991,{#000P1626T1500!#001P1199T1500!#002P1653T1500!#003P0991T1500!}
-80.0,260.0,110.0,1,0,-38,1626,1209,1640,983,{#000P1626T1500!#001P1209T1500!#002P1640T1500!#003P0983T1500!}
-80.0,260.0,120.0,1,0,-36,1626,1214,1617,969,{#000P1626T1500!#001P1214T1500!#002P1617T1500!#003P0969T1500!}
-80.0,260.0,130.0,1,0,-34,1626,1211,1575,945,{#000P1626T1500!#001P1211T1500!#002P1575T1500!#003P0945T1500!}
-80.0,260.0,140.0,1,0,-31,1626,1252,1646,997,{#000P1626T1500!#001P1252T1500!#002P1646T1500!#003P0997T1500!}
-80.0,260.0,150.0,0,8,,,,,,
-80.0,260.0,160.0,0,8,,,,,,
-80.0,260.0,170.0,0,8,,,,,,
-80.0,260.0,180.0,0,8,,,,,,
-80.0,260.0,190.0,0,8,,,,,,
-80.0,260.0,200.0,0,8,,,,,,
-80.0,260.0,210.0,0,8,,,,,,
-80.0,260.0,220.0,0,8,,,,,,
-70.0,120.0,80.0,1,0,-45,1724,1759,2303,1044,{#000P1724T1500!#001P1759T1500!#002P2303T1500!#003P1044T1500!}
-70.0,120.0,90.0,1,0,-45,1724,1745,2241,996,{#000P1724T1500!#001P1745T1500!#002P2241T1500!#003P0996T1500!}
-70.0,120.0,100.0,1,0,-45,1724,1727,2175,947,{#000P1724T1500!#001P1727T1500!#002P2175T1500!#003P0947T1500!}
-70.0,120.0,110.0,1,0,-45,1724,1705,2103,898,{#000P1724T1500!#001P1705T1500!#002P2103T1500!#003P0898T1500!}
-70.0,120.0,120.0,1,0,-45,1724,1678,2024,845,{#000P1724T1500!#001P1678T1500!#002P2024T1500!#003P0845T1500!}
-70.0,120.0,130.0,1,0,-45,1724,1645,1933,787,{#000P1724T1500!#001P1645T1500!#002P1933T1500!#003P0787T1500!}
-70.0,120.0,140.0,1,0,-45,1724,1602,1820,717,{#000P1724T1500!#001P1602T1500!#002P1820T1500!#003P0717T1500!}
-70.0,120.0,150.0,1,0,-44,1724,1559,1697,645,{#000P1724T1500!#001P1559T1500!#002P1697T1500!#003P0645T1500!}
-70.0,120.0,160.0,1,0,-40,1724,1575,1688,649,{#000P1724T1500!#001P1575T1500!#002P1688T1500!#003P0649T1500!}
-70.0,120.0,170.0,1,0,-37,1724,1559,1615,615,{#000P1724T1500!#001P1559T1500!#002P1615T1500!#003P0615T1500!}
-70.0,120.0,180.0,1,0,-33,1724,1575,1613,626,{#000P1724T1500!#001P1575T1500!#002P1613T1500!#003P0626T1500!}
-70.0,120.0,190.0,0,8,,,,,,
-70.0,120.0,200.0,0,8,,,,,,
-70.0,120.0,210.0,0,8,,,,,,
-70.0,120.0,220.0,0,8,,,,,,
-70.0,130.0,80.0,1,0,-45,1709,1723,2296,1072,{#000P1709T1500!#001P1723T1500!#002P2296T1500!#003P1072T1500!}
-70.0,130.0,90.0,1,0,-45,1709,1712,2233,1021,{#000P1709T1500!#001P1712T1500!#002P2233T1500!#003P1021T1500!}
-70.0,130.0,100.0,1,0,-45,1709,1696,2167,971,{#000P1709T1500!#001P1696T1500!#002P2167T1500!#003P0971T1500!}
-70.0,130.0,110.0,1,0,-45,1709,1676,2095,919,{#000P1709T1500!#001P1676T1500!#002P2095T1500!#003P0919T1500!}
-70.0,130.0,120.0,1,0,-45,1709,1650,2016,865,{#000P1709T1500!#001P1650T1500!#002P2016T1500!#003P0865T1500!}
-70.0,130.0,130.0,1,0,-45,1709,1619,1924,805,{#000P1709T1500!#001P1619T1500!#002P1924T1500!#003P0805T1500!}
-70.0,130.0,140.0,1,0,-45,1709,1576,1809,733,{#000P1709T1500!#001P1576T1500!#002P1809T1500!#003P0733T1500!}
-70.0,130.0,150.0,1,0,-45,1709,1498,1613,614,{#000P1709T1500!#001P1498T1500!#002P1613T1500!#003P0614T1500!}
