x_mm,y_mm,z_mm,ok,error_code,alpha_deg,servo0_pwm,servo1_pwm,servo2_pwm,servo3_pwm,command
-160.0,180.0,240.0,0,8,,,,,,
-160.0,180.0,260.0,0,8,,,,,,
-160.0,180.0,280.0,0,8,,,,,,
-160.0,180.0,300.0,0,8,,,,,,
-160.0,180.0,320.0,0,8,,,,,,
-160.0,200.0,0.0,1,0,-44,1786,836,1677,1348,{#000P1786T1500!#001P0836T1500!#002P1677T1500!#003P1348T1500!}
-160.0,200.0,20.0,1,0,-45,1786,897,1705,1307,{#000P1786T1500!#001P0897T1500!#002P1705T1500!#003P1307T1500!}
-160.0,200.0,40.0,1,0,-45,1786,945,1710,1264,{#000P1786T1500!#001P0945T1500!#002P1710T1500!#003P1264T1500!}
-160.0,200.0,60.0,1,0,-45,1786,973,1671,1198,{#000P1786T1500!#001P0973T1500!#002P1671T1500!#003P1198T1500!}
-160.0,200.0,80.0,1,0,-44,1786,984,1602,1125,{#000P1786T1500!#001P0984T1500!#002P1602T1500!#003P1125T1500!}
-160.0,200.0,100.0,1,0,-41,1786,990,1534,1073,{#000P1786T1500!#001P0990T1500!#002P1534T1500!#003P1073T1500!}
-160.0,200.0,120.0,1,0,-36,1786,1032,1558,1091,{#000P1786T1500!#001P1032T1500!#002P1558T1500!#003P1091T1500!}
-160.0,200.0,140.0,1,0,-30,1786,1069,1578,1119,{#000P1786T1500!#001P1069T1500!#002P1578T1500!#003P1119T1500!}
-160.0,200.0,160.0,0,8,,,,,,
-160.0,200.0,180.0,0,8,,,,,,
-160.0,200.0,200.0,0,8,,,,,,
-160.0,200.0,220.0,0,8,,,,,,
-160.0,200.0,240.0,0,8,,,,,,
-160.0,200.0,260.0,0,8,,,,,,
-160.0,200.0,280.0,0,8,,,,,,
-160.0,200.0,300.0,0,8,,,,,,
-160.0,200.0,320.0,0,8,,,,,,
-160.0,220.0,0.0,0,8,,,,,,
-160.0,220.0,20.0,0,8,,,,,,
-160.0,220.0,40.0,1,0,-36,1766,840,1536,1262,{#000P1766T1500!#001P0840T1500!#002P1536T1500!#003P1262T1500!}
-160.0,220.0,60.0,1,0,-35,1766,898,1572,1248,{#000P1766T1500!#001P0898T1500!#002P1572T1500!#003P1248T1500!}
-160.0,220.0,80.0,1,0,-33,1766,933,1566,1221,{#000P1766T1500!#001P0933T1500!#002P1566T1500!#003P1221T1500!}
-160.0,220.0,100.0,1,0,-30,1766,948,1521,1184,{#000P1766T1500!#001P0948T1500!#002P1521T1500!#003P1184T1500!}
-160.0,220.0,120.0,0,8,,,,,,
-160.0,220.0,140.0,0,8,,,,,,
-160.0,220.0,160.0,0,8,,,,,,
-160.0,220.0,180.0,0,8,,,,,,
-160.0,220.0,200.0,0,8,,,,,,
-160.0,220.0,220.0,0,8,,,,,,
-160.0,220.0,240.0,0,8,,,,,,
-160.0,220.0,260.0,0,8,,,,,,
-160.0,220.0,280.0,0,8,,,,,,
-160.0,220.0,300.0,0,8,,,,,,
-160.0,220.0,320.0,0,8,,,,,,
-160.0,240.0,0.0,0,8,,,,,,
-160.0,240.0,20.0,0,8,,,,,,
-160.0,240.0,40.0,0,8,,,,,,
-160.0,240.0,60.0,0,8,,,,,,
-160.0,240.0,80.0,0,8,,,,,,
-160.0,240.0,100.0,0,8,,,,,,
-160.0,240.0,120.0,0,8,,,,,,
-160.0,240.0,140.0,0,8,,,,,,
-160.0,240.0,160.0,0,8,,,,,,
-160.0,240.0,180.0,0,8,,,,,,
-160.0,240.0,200.0,0,8,,,,,,
-160.0,240.0,220.0,0,8,,,,,,
-160.0,240.0,240.0,0,8,,,,,,
-160.0,240.0,260.0,0,8,,,,,,
-160.0,240.0,280.0,0,8,,,,,,
-160.0,240.0,300.0,0,8,,,,,,
-160.0,240.0,320.0,0,8,,,,,,
-160.0,260.0,0.0,0,8,,,,,,
-160.0,260.0,20.0,0,8,,,,,,
-160.0,260.0,40.0,0,8,,,,,,
-160.0,260.0,60.0,0,8,,,,,,
-160.0,260.0,80.0,0,8,,,,,,
-160.0,260.0,100.0,0,8,,,,,,
-160.0,260.0,120.0,0,8,,,,,,
-160.0,260.0,140.0,0,8,,,,,,
-160.0,260.0,160.0,0,8,,,,,,
-160.0,260.0,180.0,0,8,,,,,,
-160.0,260.0,200.0,0,8,,,,,,
-160.0,260.0,220.0,0,8,,,,,,
-160.0,260.0,240.0,0,8,,,,,,
-160.0,260.0,260.0,0,8,,,,,,
-160.0,260.0,280.0,0,8,,,,,,
-160.0,260.0,300.0,0,8,,,,,,
-160.0,260.0,320.0,0,8,,,,,,
-160.0,280.0,0.0,0,8,,,,,,
-160.0,280.0,20.0,0,8,,,,,,
-160.0,280.0,40.0,0,8,,,,,,
-160.0,280.0,60.0,0,8,,,,,,
-160.0,280.0,80.0,0,8,,,,,,
-160.0,280.0,100.0,0,8,,,,,,
-160.0,280.0,120.0,0,8,,,,,,
-160.0,280.0,140.0,0,8,,,,,,
-160.0,280.0,160.0,0,8,,,,,,
-160.0,280.0,180.0,0,8,,,,,,
-160.0,280.0,200.0,0,8,,,,,,
-160.0,280.0,220.0,0,8,,,,,,
-160.0,280.0,240.0,0,8,,,,,,
-160.0,280.0,260.0,0,8,,,,,,
-160.0,280.0,280.0,0,8,,,,,,
-160.0,280.0,300.0,0,8,,,,,,
-160.0,280.0,320.0,0,8,,,,,,
-160.0,300.0,0.0,0,8,,,,,,
-160.0,300.0,20.0,0,8,,,,,,
-160.0,300.0,40.0,0,8,,,,,,
-160.0,300.0,60.0,0,8,,,,,,
-160.0,300.0,80.0,0,8,,,,,,
-160.0,300.0,100.0,0,8,,,,,,
-160.0,300.0,120.0,0,8,,,,,,
-160.0,300.0,140.0,0,8,,,,,,
-160.0,300.0,160.0,0,8,,,,,,
-160.0,300.0,180.0,0,8,,,,,,
-160.0,300.0,200.0,0,8,,,,,,
-160.0,300.0,220.0,0,8,,,,,,
-160.0,300.0,240.0,0,8,,,,,,
-160.0,300.0,260.0,0,8,,,,,,
-160.0,300.0,280.0,0,8,,,,,,
-160.0,300.0,300.0,0,8,,,,,,
-160.0,300.0,320.0,0,8,,,,,,
-160.0,320.0,0.0,0,8,,,,,,
-160.0,320.0,20.0,0,8,,,,,,
